id,user_id,updatedAt,createdAt
19,22,1531769347005,1531769347005
20,22,1531769360225,1531769360225
21,22,1531769423062,1531769423062
22,22,1531809390130,1531809390130
23,22,1531809435760,1531809435760
24,22,1531809448744,1531809448744
25,22,1531809508304,1531809508304
26,22,1531809627893,1531809627893
27,22,1531809762970,1531809762970
28,22,1531833249270,1531833249270
29,22,1531833377640,1531833377640
30,22,1531833461243,1531833461243
31,22,1531833635602,1531833635602
32,22,1531957268706,1531957268706
33,22,1531958377469,1531958377469
34,22,1531958426330,1531958426330
35,22,1531958498585,1531958498585
36,22,1531958635753,1531958635753
37,22,1531958658991,1531958658991
38,22,1531958695324,1531958695324
39,22,1531958763164,1531958763164
40,22,1531958769133,1531958769133
41,22,1531958798868,1531958798868
42,22,1531959398895,1531959398895
43,22,1531959410252,1531959410252
44,22,1531959511619,1531959511619
45,22,1531959597937,1531959597937
46,22,1531959655733,1531959655733
47,22,1531959707739,1531959707739
48,22,1531959748794,1531959748794
49,22,1531960007292,1531960007292
50,22,1531960334512,1531960334512
51,22,1531960379763,1531960379763
52,22,1531960417415,1531960417415
53,22,1531960447566,1531960447566
54,22,1531960515159,1531960515159
55,22,1531960542549,1531960542549
56,22,1531960583968,1531960583968
57,22,1531960646888,1531960646888
58,22,1531960647860,1531960647860
59,22,1531960669782,1531960669782
60,22,1531960698277,1531960698277
61,22,1531960746999,1531960746999
62,22,1531960764688,1531960764688
63,22,1531960778170,1531960778170
64,22,1531960784363,1531960784363
65,22,1531960796172,1531960796172
66,22,1531960896066,1531960896066
67,22,1531961033376,1531961033376
68,22,1531962287147,1531962287147
69,22,1532064657127,1532064657127
70,22,1532064660143,1532064660143
71,22,1532064757361,1532064757361
72,22,1532064758041,1532064758041
73,22,1532095617024,1532095617024
74,22,1532097690839,1532097690839
75,22,1532119386348,1532119386348
76,22,1532119403501,1532119403501
77,22,1532119405738,1532119405738
78,22,1532120720564,1532120720564
79,22,1532120803714,1532120803714
80,22,1532121158948,1532121158948
81,22,1532121226582,1532121226582
82,22,1532121330872,1532121330872
83,22,1532121447674,1532121447674
84,22,1532121515688,1532121515688
85,27,1532121546082,1532121546082
86,27,1532121605473,1532121605473
87,22,1532121616436,1532121616436
88,22,1532127446201,1532127446201
89,22,1532127492536,1532127492536
90,22,1532127881487,1532127881487
91,22,1532143742677,1532143742677
92,22,1532143764859,1532143764859
93,22,1532460266185,1532460266185
94,22,1532460271385,1532460271385
95,22,1532461926120,1532461926120
96,22,1532631581270,1532631581270
97,22,1532639368260,1532639368260
98,22,1532800863840,1532800863840
99,22,1532800902817,1532800902817
100,22,1532800907928,1532800907928
101,22,1532800975896,1532800975896
102,22,1532806965655,1532806965655
103,22,1532808366832,1532808366832
104,22,1532808625940,1532808625940
105,22,1532809620599,1532809620599
106,22,1532809664807,1532809664807
107,22,1532826541005,1532826541005
108,22,1532826686540,1532826686540
109,22,1532826715352,1532826715352
110,22,1532838958618,1532838958618
111,27,1532905967138,1532905967138
112,22,1532908310303,1532908310303
113,22,1532908384843,1532908384843
114,22,1532908504639,1532908504639
115,22,1532908717008,1532908717008
116,22,1532908749037,1532908749037
117,22,1532908821274,1532908821274
118,22,1532908906258,1532908906258
119,22,1532909027921,1532909027921
120,22,1532909059562,1532909059562
121,22,1532910752322,1532910752322
122,22,1532910790193,1532910790193
123,22,1532910878677,1532910878677
124,22,1532910919296,1532910919296
125,22,1532910988492,1532910988492
126,22,1532910991651,1532910991651
127,22,1532910992421,1532910992421
128,22,1532911032813,1532911032813
129,22,1532911157864,1532911157864
130,22,1532912496868,1532912496868
131,22,1532912663739,1532912663739
132,22,1532912854530,1532912854530
133,22,1532913547597,1532913547597
134,22,1532914653071,1532914653071
135,22,1532914869965,1532914869965
136,22,1532914914558,1532914914558
137,22,1532915051757,1532915051757
138,22,1532915252813,1532915252813
139,22,1532915316418,1532915316418
140,22,1532915423664,1532915423664
141,22,1532915494287,1532915494287
142,22,1532915781892,1532915781892
143,22,1532915880503,1532915880503
144,22,1532924562627,1532924562627
145,22,1532924841740,1532924841740
146,22,1532924933904,1532924933904
147,22,1532924993624,1532924993624
148,22,1532925081428,1532925081428
149,22,1532927179281,1532927179281
150,22,1532927205330,1532927205330
151,22,1532927454827,1532927454827
152,22,1532927530644,1532927530644
153,22,1532927638634,1532927638634
154,22,1532927798310,1532927798310
155,22,1532927912263,1532927912263
156,22,1532928028349,1532928028349
157,22,1532979773549,1532979773549
158,22,1532980363230,1532980363230
159,22,1532980763452,1532980763452
160,22,1532981020573,1532981020573
161,27,1532981908242,1532981908242
162,27,1532982707483,1532982707483
163,27,1532982892511,1532982892511
164,22,1532983111521,1532983111521
165,22,1532983178732,1532983178732
166,22,1532983299411,1532983299411
167,22,1532983699140,1532983699140
168,27,1532983984489,1532983984489
169,27,1532984118865,1532984118865
170,27,1532984170401,1532984170401
171,27,1532984227677,1532984227677
172,22,1532984242947,1532984242947
173,27,1532984405923,1532984405923
174,27,1532984590713,1532984590713
175,22,1532984630366,1532984630366
176,27,1532984692823,1532984692823
177,27,1532985055311,1532985055311
178,22,1532985110031,1532985110031
179,22,1532986926676,1532986926676
180,22,1532986994748,1532986994748
181,22,1532988010290,1532988010290
182,31,1533013060762,1533013060762
183,31,1533013295339,1533013295339
184,31,1533013386553,1533013386553
185,31,1533013575897,1533013575897
186,31,1533013710539,1533013710539
187,31,1533013928010,1533013928010
188,31,1533014045116,1533014045116
189,31,1533044057582,1533044057582
190,31,1533044461964,1533044461964
191,31,1533045559203,1533045559203
192,31,1533046655656,1533046655656
193,22,1533047716056,1533047716056
194,31,1533047954076,1533047954076
195,32,1533048019123,1533048019123
196,32,1533048054431,1533048054431
197,33,1533048209444,1533048209444
198,33,1533048383826,1533048383826
199,32,1533048494269,1533048494269
200,32,1533049376416,1533049376416
201,31,1533140536381,1533140536381
202,31,1533140766693,1533140766693
203,31,1533141162660,1533141162660
204,31,1533142190595,1533142190595
205,22,1533422655884,1533422655884
206,22,1533422714291,1533422714291
207,22,1533423111914,1533423111914
208,31,1533566067565,1533566067565
209,31,1533567097760,1533567097760
210,31,1533567107851,1533567107851
211,31,1533575700918,1533575700918
212,31,1533578460805,1533578460805
213,52,1533760588952,1533760588952
214,52,1533887471629,1533887471629
215,58,1533981261840,1533981261840
216,58,1533982328939,1533982328939
217,22,1534441962461,1534441962461
218,22,1534442909505,1534442909505
219,22,1534456283364,1534456283364
220,22,1534456756253,1534456756253
221,22,1534480276906,1534480276906
222,22,1534480337582,1534480337582
223,22,1534480773819,1534480773819
