Weight,Nested,Order,Procedure,TrialID,PicFile2,Sound,WavFile2,Condition,Image-id,conid,AOI1,AOI2,AOI3,AOI4,AOI1-id,AOI2-id,AOI3-id,AOI4-id,targetAOI,competitorAOI,rhymeAOI,distAOI
,,1,,F38_11,F38_11.bmp,kia4,f2-kia4.wav,FILL,49.bmp,11,fiu1,kia4,riu3,giu2,30,49,75,7,2,1,3,4
,,2,,F42_11,F42_11.bmp,fiu4,f1-fiu4.wav,FILL,43.bmp,11,zi3,rai2,fiu4,me4,45,67,43,94,3,4,2,1
,,3,,F26_07,F26_07.bmp,fe2,m1-fe2.wav,SHRY,53.bmp,7,ga3,ra1,fe2,me4,61,50,53,17,3,1,4,2
,,4,,T15_04,T15_04.bmp,rai2,f1-rai2.wav,SLTI,67.bmp,4,rai4,fai2,rai2,pe3,16,13,67,22,3,1,2,4
,,5,,F21_06,F21_06.bmp,biu1,m1-biu1.wav,SLHP,24.bmp,6,pe3,be2,biu1,ri4,22,125,24,20,3,2,4,1
,,6,,F19_05,F19_05.bmp,fi3,m1-fi3.wav,SHHP,56.bmp,5,fi3,be1,kiu2,fe4,56,5,18,99,1,4,2,3
,,7,,T08_02,T08_02.bmp,ga4,f1-ga4.wav,SHTI,82.bmp,2,ga3,ra4,be1,ga4,42,132,5,82,4,1,2,3
,,8,,F22_06,F22_06.bmp,fai3,m2-fai3.wav,SLHP,55.bmp,6,ra2,biu1,zi4,fai3,12,24,3,55,4,3,1,2
,,9,,F24_05,F24_05.bmp,ra1,m2-ra1.wav,SHHP,50.bmp,5,gi4,me2,ra1,zi3,48,78,50,98,3,2,1,4
,,10,,T14_04,T14_04.bmp,zi4,m2-zi4.wav,SLTI,3.bmp,4,fai1,zi4,gi4,zi3,135,3,48,45,2,4,3,1
,,11,,F47_06,F47_06.bmp,rai4,f1-rai4.wav,SLHP,58.bmp,6,be2,fi1,rai4,piu3,125,35,58,121,3,4,2,1
